Neighborhood_ID;Neighborhood;Average_Monthly_Income;Literacy_Rate;Population_with_Income;Total_Literate_Population;Total_Private_Households;Total_Resident_Population
3547809075;Parque Miami;898.52;94.8;3033.0;5443.0;1728.0;5874.0
3547809076;Jardim Riviera;864.65;94.3;1898.0;3697.0;1149.0;3993.0
3547809079;Sítio dos Teco;nan;nan;nan;nan;nan;16.0
3547809080;Parque Represa Billings II;1331.6;97.9;344.0;621.0;204.0;660.0
3547809081;Jardim Clube de Campo;1740.59;98.8;309.0;515.0;184.0;546.0
3547809082;Sítio Taquaral;1199.63;94.8;54.0;103.0;31.0;111.0
3547809083;Parque Represa Billings III;943.49;96.8;798.0;1492.0;444.0;1600.0
3547809084;Parque Novo Oratório;1507.4;98.3;9966.0;15763.0;5257.0;16506.0
3547809085;Jardim Santo Alberto;1448.59;97.6;3864.0;6109.0;2036.0;6429.0
3547809086;Jardim Ana Maria;1372.06;97.4;2853.0;4616.0;1501.0;4886.0
3547809088;Jardim Itapoan;1565.32;99.0;2003.0;3487.0;1055.0;3658.0
3547809089;Parque Capuava;1374.01;97.3;4739.0;7727.0;2503.0;8167.0
3547809090;Parque Erasmo Assunção;1653.58;98.4;5855.0;8880.0;3134.0;9363.0
3547809091;Vila Curuçá;1970.27;98.1;6739.0;10525.0;3706.0;11047.0
3547809092;Parque Jaçatuba;2190.98;98.7;2621.0;4054.0;1329.0;4245.0
3547809093;Parque João Ramalho;1684.75;96.3;8702.0;14126.0;4706.0;15032.0
3547809094;Jardim Rina;1728.07;98.8;1597.0;2583.0;789.0;2721.0
3547809095;Jardim Alzira Franco;980.17;95.5;3353.0;5691.0;1802.0;6137.0
3547809096;Tamanduateí 8;829.44;92.9;4740.0;9387.0;2820.0;10144.0
3547809098;Acampamento Anchieta;891.86;94.9;116.0;217.0;65.0;236.0
3547809099;Jardim Guaripocaba;1028.92;97.3;37.0;85.0;23.0;98.0
3547809100;Parque das Garças;1188.3;92.4;47.0;68.0;24.0;71.0
3547809101;Parque Rio Grande;783.84;91.5;230.0;458.0;141.0;505.0
3547809103;Parque América;896.65;93.2;95.0;176.0;52.0;195.0
3547809106;Campo Grande;777.4;97.2;50.0;116.0;34.0;124.0
3547809107;Estância Rio Grande;770.03;92.0;68.0;134.0;43.0;144.0
3547809108;Jardim Joaquim Eugênio de Lima;813.65;88.0;248.0;629.0;182.0;701.0
3547809110;Várzea do Rio Grande;687.87;91.8;54.0;91.0;28.0;99.0
3547809111;Reserva Biológica Alto da Serra;nan;nan;nan;nan;nan;2.0
3547809113;Paranapiacaba;1057.85;96.7;469.0;867.0;259.0;921.0
3547809115;Jardim Cipreste;nan;nan;nan;nan;2412.0;7311.0
3547809116;Jardim Guarará;nan;nan;nan;nan;1996.0;5486.0
3547809117;Jardim Jamaica;nan;nan;nan;nan;710.0;1909.0
3547809118;Jardim Santo André CDHU;nan;nan;nan;nan;9371.0;27028.0
3547809119;Jardim Telles de Menezes;nan;nan;nan;nan;3416.0;9258.0
3547809120;Jardim Vila Rica;nan;nan;nan;nan;552.0;1557.0
3547809121;Novo Homero Thon;nan;nan;nan;nan;1725.0;4356.0
3547809122;Pinheirinho;nan;nan;nan;nan;862.0;2178.0
3547809123;Vila Aquilino;nan;nan;nan;nan;1374.0;4401.0
3547809124;Vila João Ramalho;nan;nan;nan;nan;2981.0;8485.0
3547809125;Vila Vitória;nan;nan;nan;nan;1084.0;2891.0
3547809126;Centreville;nan;nan;nan;nan;1775.0;5138.0
3547809127;Miami / Riviera;nan;nan;nan;nan;4100.0;11660.0
3547809128;Rio Bonito;nan;nan;nan;nan;34.0;105.0
3547809129;Rio Mogi;nan;nan;nan;nan;1.0;4.0
3547809130;Araçaúva;nan;nan;nan;nan;5.0;11.0
3547809132;Várzea do Tamanduateí;nan;nan;nan;nan;6.0;14.0
3547809500;Silveira;nan;nan;nan;nan;1173.0;3006.0
