neighborhood_id;name;area_km2;average_monthly_income;literacy_rate;population_with_income;total_literate_population;total_private_households;total_resident_population;centroid_lat;centroid_lon
3547809049;Vila Scarpelli;592059.688;2098.86;98.3;3887.0;5945.0;1974.0;6220.0;-23.67867684400654;-46.54505513388403
3547809050;Jardim Bom Pastor;694167.25;1563.13;97.6;3809.0;5653.0;1903.0;5942.0;-23.679269216317998;-46.551150252761744
3547809051;Jardim Stella;834420.188;2103.45;98.6;7130.0;10926.0;3863.0;11528.0;-23.682983857404068;-46.53821457195101
3547809052;Jardim Cristiane;692194.688;1174.89;96.5;6975.0;11152.0;3665.0;11886.0;-23.68790286663418;-46.53008441924569
3547809053;Vila Linda;824529.188;1359.04;97.0;5572.0;8849.0;2957.0;9286.0;-23.686700006609655;-46.5212600613818
3547809054;Vila Junqueira;213605.375;1502.66;98.1;2338.0;3942.0;1270.0;4117.0;-23.690577410601943;-46.5108306760019
3547809055;Jardim Ipanema;572928.125;1292.9;96.8;3413.0;5677.0;1855.0;6036.0;-23.686520976760896;-46.50243409525483
3547809056;Vila Guaraciaba;1185177.0;1192.54;97.3;2171.0;3549.0;1160.0;3763.0;-23.68638482707271;-46.49136362433676
3547809057;Condomínio Maracanã;846405.5;1006.28;95.8;5128.0;9298.0;2894.0;10029.0;-23.693232856756055;-46.492547948349795
3547809058;Vila Tibiriçá;213706.938;1454.12;97.9;1585.0;2392.0;786.0;2517.0;-23.68987339922086;-46.50512920308276
3547809059;Vila Suíça;478098.188;1048.17;96.1;5916.0;9806.0;3266.0;10548.0;-23.696673631009737;-46.50019765392039
3547809060;Vila Lutécia;268335.406;1668.03;98.5;2304.0;3449.0;1275.0;3714.0;-23.693285618821683;-46.50265781609528
3547809061;Jardim Santa Cristina;372133.781;1267.75;96.7;8451.0;14681.0;4870.0;15819.0;-23.70078763810589;-46.51484978099153
3547809062;Jardim do Estádio;874412.5;1143.06;97.0;7157.0;11865.0;3827.0;12598.0;-23.694087531680434;-46.516526593209555
3547809063;Jardim Alvorada;784478.438;1431.7;98.4;7448.0;10959.0;3987.0;11599.0;-23.695967458502256;-46.52331878259429
3547809064;Jardim Las Vegas;1217706.38;1573.39;97.4;6217.0;10551.0;3307.0;11214.0;-23.695870901157207;-46.531511137033775
3547809065;Sítio dos Vianas;406075.312;861.77;95.2;6078.0;10503.0;3402.0;11484.0;-23.709174659168305;-46.51540912688085
3547809066;Vila Luzita;460896.031;1264.61;96.9;6704.0;10694.0;3584.0;11387.0;-23.70069506516062;-46.506492499294154
3547809067;Jardim Santo André;539217.562;1282.36;97.3;5718.0;9716.0;3227.0;10439.0;-23.7064350510859;-46.50040658583551
3547809069;Jardim Irene;463604.75;1102.18;97.6;4408.0;7397.0;2423.0;7980.0;-23.708411511701257;-46.50847214036955
3547809071;Cata Preta;1113461.38;773.68;93.1;5413.0;10408.0;3146.0;11606.0;-23.720428556839934;-46.512576567709004
3547809072;Parque do Pedroso;8821370.0;852.13;94.6;755.0;1597.0;471.0;1734.0;-23.731332596939207;-46.50339017648738
3547809073;Recreio da Borda do Campo;3516303.0;981.01;96.6;5487.0;9965.0;3138.0;10728.0;-23.732021813486504;-46.47902538874742
3547809079;Sítio dos Teco;642174.375;0.0;0.0;0.0;0.0;0.0;16.0;-23.754468487915464;-46.45991093124571
3547809080;Parque Represa Billings II;210697.391;1331.6;97.9;344.0;621.0;204.0;660.0;-23.756762777575346;-46.46333591790479
3547809081;Jardim Clube de Campo;1460206.5;1740.59;98.8;309.0;515.0;184.0;546.0;-23.762825630261826;-46.470165473719895
3547809082;Sítio Taquaral;560424.375;1199.63;94.8;54.0;103.0;31.0;111.0;-23.76343963068562;-46.458987425777444
3547809083;Parque Represa Billings III;1248694.25;943.49;96.8;798.0;1492.0;444.0;1600.0;-23.77174320093829;-46.46605043127401
3547809084;Parque Novo Oratório;1456305.25;1507.4;98.3;9966.0;15763.0;5257.0;16506.0;-23.633510385604968;-46.498593910597435
3547809085;Jardim Santo Alberto;477689.344;1448.59;97.6;3864.0;6109.0;2036.0;6429.0;-23.632602740198905;-46.4936651747529
3547809086;Jardim Ana Maria;557353.625;1372.06;97.4;2853.0;4616.0;1501.0;4886.0;-23.626638600750198;-46.4904354473302
3547809088;Jardim Itapoan;292819.156;1565.32;99.0;2003.0;3487.0;1055.0;3658.0;-23.632222045948904;-46.48969224160238
3547809089;Parque Capuava;941537.375;1374.01;97.3;4739.0;7727.0;2503.0;8167.0;-23.643760447018398;-46.49085108116435
3547809090;Parque Erasmo Assunção;912949.375;1653.58;98.4;5855.0;8880.0;3134.0;9363.0;-23.640851515092724;-46.5027568111476
3547809091;Vila Curuçá;1074171.0;1970.27;98.1;6739.0;10525.0;3706.0;11047.0;-23.643860971152193;-46.515784610133885
3547809092;Parque Jaçatuba;726245.812;2190.98;98.7;2621.0;4054.0;1329.0;4245.0;-23.649500028724567;-46.51706928513442
3547809093;Parque João Ramalho;990371.625;1684.75;96.3;8702.0;14126.0;4706.0;15032.0;-23.647694679424365;-46.5052884201
3547809094;Jardim Rina;199262.844;1728.07;98.8;1597.0;2583.0;789.0;2721.0;-23.646777509061682;-46.495866346765865
3547809095;Jardim Alzira Franco;812000.562;980.17;95.5;3353.0;5691.0;1802.0;6137.0;-23.653066306502833;-46.50012073403063
3547809098;Acampamento Anchieta;3680178.5;891.86;94.9;116.0;217.0;65.0;236.0;-23.776412529920428;-46.44986760321518
3547809099;Jardim Guaripocaba;971156.812;1028.92;97.3;37.0;85.0;23.0;98.0;-23.770764913849963;-46.433762057179244
3547809100;Parque das Garças;1405311.38;1188.3;92.4;47.0;68.0;24.0;71.0;-23.79329056672186;-46.43845009345602
3547809101;Parque Rio Grande;2560620.75;783.84;91.5;230.0;458.0;141.0;505.0;-23.77711935285723;-46.42302278958773
3547809103;Parque América;2530994.75;896.65;93.2;95.0;176.0;52.0;195.0;-23.77809817550958;-46.40727053956646
3547809106;Campo Grande;12918995.0;777.4;97.2;50.0;116.0;34.0;124.0;-23.76989462411373;-46.37028634428713
3547809107;Estância Rio Grande;793378.938;770.03;92.0;68.0;134.0;43.0;144.0;-23.756923534648756;-46.36925450461465
3547809108;Jardim Joaquim Eugênio de Lima;5854361.5;813.65;88.0;248.0;629.0;182.0;701.0;-23.747706315962304;-46.34852715318659
3547809113;Paranapiacaba;1339486.88;1057.85;96.7;469.0;867.0;259.0;921.0;-23.77913330934237;-46.30469929453923
3547809115;Jardim Cipreste;475594.312;0.0;0.0;0.0;0.0;2412.0;7311.0;-23.714646075170233;-46.51758070527177
3547809116;Jardim Guarará;399026.5;0.0;0.0;0.0;0.0;1996.0;5486.0;-23.704740837316166;-46.51202405470667
3547809117;Jardim Jamaica;230677.391;0.0;0.0;0.0;0.0;710.0;1909.0;-23.68259907832808;-46.53253509961862
3547809118;Jardim Santo André CDHU;1568668.88;0.0;0.0;0.0;0.0;9371.0;27028.0;-23.70612887209739;-46.49493390742831
3547809119;Jardim Telles de Menezes;425175.125;0.0;0.0;0.0;0.0;3416.0;9258.0;-23.696503172753474;-46.509675786404955
3547809120;Jardim Vila Rica;166652.156;0.0;0.0;0.0;0.0;552.0;1557.0;-23.713007858109563;-46.50256731097832
3547809121;Novo Homero Thon;1119941.38;0.0;0.0;0.0;0.0;1725.0;4356.0;-23.662852678893362;-46.500585053579066
3547809122;Pinheirinho;244948.906;0.0;0.0;0.0;0.0;862.0;2178.0;-23.67669675833222;-46.54028457524008
3547809123;Vila Aquilino;325027.656;0.0;0.0;0.0;0.0;1374.0;4401.0;-23.654434354402344;-46.55224186828132
3547809124;Vila João Ramalho;547380.812;0.0;0.0;0.0;0.0;2981.0;8485.0;-23.71184494140274;-46.50627346816302
